Doy,Rain,dt,Temp,Radiation,Relative Humidity,Wind,lat,long,elev,height,irr
207.75,0,0.01,30.13333333,49.188,73.73333333,3.122222222,14.24,102.69,295,2.5,0
207.76,0,0.01,29.82222222,27.27233333,75.04444444,1.088888889,14.24,102.69,295,2.5,0
207.77,0,0.01,29.11111111,12.20155556,78.3,0.788888889,14.24,102.69,295,2.5,0
207.78,0,0.01,28.45555556,4.249444444,80.08888889,0.844444444,14.24,102.69,295,2.5,0
207.79,0,0.01,28.08888889,3.071,81.41111111,0.888888889,14.24,102.69,295,2.5,0
207.8,0,0.01,27.6,2.940111111,83.17777778,0.866666667,14.24,102.69,295,2.5,0
207.81,0,0.01,27.31111111,3.202,82.78888889,1.611111111,14.24,102.69,295,2.5,0
207.82,0,0.01,27.05555556,2.940111111,83,1.222222222,14.24,102.69,295,2.5,0
207.83,0,0.01,26.88333333,3.594666667,83.55,1.133333333,14.24,102.69,295,2.5,0
207.84,0,0.01,26.72222222,3.463888889,83.96666667,0.677777778,14.24,102.69,295,2.5,0
207.85,0,0.01,26.63333333,2.809222222,84.21111111,0.7,14.24,102.69,295,2.5,0
207.86,0,0.01,26.6,3.332888889,84.81111111,1.077777778,14.24,102.69,295,2.5,0
207.87,0,0.01,26.46666667,2.678333333,84.77777778,1.588888889,14.24,102.69,295,2.5,0
207.88,0,0.01,26.35555556,3.333,85.06666667,2.444444444,14.24,102.69,295,2.5,0
207.89,0,0.01,26.35555556,3.333,84.98888889,1.366666667,14.24,102.69,295,2.5,0
207.9,0,0.01,26.35555556,2.678222222,85.25555556,1.144444444,14.24,102.69,295,2.5,0
207.91,0,0.01,26.35,3.005666667,85.06666667,1.233333333,14.24,102.69,295,2.5,0
207.92,0,0.01,26.4,3.071,84.6,1.322222222,14.24,102.69,295,2.5,0
207.93,0,0.01,26.23333333,3.202,84.75555556,0.277777778,14.24,102.69,295,2.5,0
207.94,0,0.01,26.04444444,2.940222222,85.52222222,1.511111111,14.24,102.69,295,2.5,0
